date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:45	333966/333966	---MCZ	200	added ('OK')	application/javascript	etag:W/%225188e-UkM0VxZkZJFxYkHfNtBYEIxE31A%22	https://cdn.lordicon.com/lordicon.js	C:/Mes%20Sites%20Web/redact/cdn.lordicon.com/lordicon.js	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:45	14877/14877	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2026%20Sep%202025%2018:32:44%20GMT	https://kit.fontawesome.com/618007f65e.js	C:/Mes%20Sites%20Web/redact/kit.fontawesome.com/618007f65e.js	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:45	2057/2057	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b835d5b8911b6906cb78f81071eb633a%22	https://mes-services-enligne-espace-ca.onrender.com/assets/js/main.js	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/assets/js/main.js	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:46	116/116	---MCZ	200	added ('OK')	application/javascript	etag:W/%22eeb66b94b338ac8ca0a8e94e3b91fd3a%22	https://mes-services-enligne-espace-ca.onrender.com/assets/js/session.js	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/assets/js/session.js	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:46	1846/1846	---MCZ	200	added ('OK')	text/css	etag:W/%223e49fa01b93392a3a02f67af1555334f%22	https://mes-services-enligne-espace-ca.onrender.com/assets/css/main.css	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/assets/css/main.css	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:47	2103/2103	---MCZ	200	added ('OK')	text/css	etag:W/%22c64f87453780afe13e76ca8882b8afdf%22	https://mes-services-enligne-espace-ca.onrender.com/assets/css/base.css	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/assets/css/base.css	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:47	2748/2748	---MCZ	200	added ('OK')	text/css	etag:W/%22a07164902bbf071e43c18b7a5340bce5%22	https://mes-services-enligne-espace-ca.onrender.com/assets/css/menu_bar.css	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/assets/css/menu_bar.css	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:47	93/93	---MCZ	200	added ('OK')	application/javascript	etag:W/%228d1eecd05ea3b11d19e4b2514dac11cb%22	https://mes-services-enligne-espace-ca.onrender.com/header.js	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/header.js	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:48	356/356	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f067e9fdbfc9298ed76375b0edc0d53%22	https://mes-services-enligne-espace-ca.onrender.com/footer.js	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/footer.js	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:48	6661/6661	---MCZ	200	added ('OK')	text/html	etag:W/%228ccc0cc3566c18defb5e646080a810c5%22	https://mes-services-enligne-espace-ca.onrender.com/historique.html	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/historique.html	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:49	6486/6486	---MCZ	200	added ('OK')	text/html	etag:W/%224ead2f62732cb49d67a329feb2b60031%22	https://mes-services-enligne-espace-ca.onrender.com/virement.html	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/virement.html	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:49	6081/6081	---MCZ	200	added ('OK')	text/html	etag:W/%22f8c6da14d6ebb395b3a20588e3d566b9%22	https://mes-services-enligne-espace-ca.onrender.com/cartes.html	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/cartes.html	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:50	4897/4897	---MCZ	200	added ('OK')	text/html	etag:W/%22ebed117dfadba76dd9f98c7aff038822%22	https://mes-services-enligne-espace-ca.onrender.com/rib.html	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/rib.html	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:51	399/399	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2016%20Sep%202025%2018:40:13%20GMT	https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js	C:/Mes%20Sites%20Web/redact/unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:52	119513/119513	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2008%20Jul%202025%2012:38:15%20GMT	https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.js	C:/Mes%20Sites%20Web/redact/unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.js	(from https://mes-services-enligne-espace-ca.onrender.com/solde.html)
20:32:53	1312/1312	---MCZ	200	added ('OK')	text/css	etag:W/%22a6aa9a0bf48f64ae0cf49238555b8ed6%22	https://mes-services-enligne-espace-ca.onrender.com/assets/css/historique.css	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/assets/css/historique.css	(from https://mes-services-enligne-espace-ca.onrender.com/historique.html)
20:32:54	2523/2523	---MCZ	200	added ('OK')	text/css	etag:W/%227bb3213b66caf92dd3e7b38f110af4bf%22	https://mes-services-enligne-espace-ca.onrender.com/assets/css/virement.css	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/assets/css/virement.css	(from https://mes-services-enligne-espace-ca.onrender.com/virement.html)
20:32:55	4289/4289	---MCZ	200	added ('OK')	text/css	etag:W/%2214cef471b1907fa1236f1965c4402e41%22	https://mes-services-enligne-espace-ca.onrender.com/assets/css/cartes.css	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/assets/css/cartes.css	(from https://mes-services-enligne-espace-ca.onrender.com/cartes.html)
20:32:56	99287/99287	---M--	200	added ('OK')	image/png	etag:%220c77ffc37dd114fc42f73a3b56daaa69%22	https://mes-services-enligne-espace-ca.onrender.com/img/puce.png	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/img/puce.png	(from https://mes-services-enligne-espace-ca.onrender.com/cartes.html)
20:32:56	7752/7752	---M--	200	added ('OK')	image/png	etag:%2246bcf619d2cec0da2f56b0b3ba67ee83%22	https://mes-services-enligne-espace-ca.onrender.com/img/wifi.png	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/img/wifi.png	(from https://mes-services-enligne-espace-ca.onrender.com/cartes.html)
20:32:57	35644/35644	---M--	200	added ('OK')	image/png	etag:%229f902fd84069ded2f6587fbdda3c7960%22	https://mes-services-enligne-espace-ca.onrender.com/img/visa.png	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/img/visa.png	(from https://mes-services-enligne-espace-ca.onrender.com/cartes.html)
20:32:57	361/361	---MCZ	200	added ('OK')	text/css	etag:W/%22aa30b49166b456747e661dc0a9c37e89%22	https://mes-services-enligne-espace-ca.onrender.com/assets/css/rib.css	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/assets/css/rib.css	(from https://mes-services-enligne-espace-ca.onrender.com/rib.html)
20:32:58	9230/9230	---M--	200	added ('OK')	image/jpeg	etag:%22a4f22945b5924a0a941df5168bcbfc79%22	https://mes-services-enligne-espace-ca.onrender.com/img/background/background_creditcard.jpg	C:/Mes%20Sites%20Web/redact/mes-services-enligne-espace-ca.onrender.com/img/background/background_creditcard.jpg	(from https://mes-services-enligne-espace-ca.onrender.com/assets/css/cartes.css)
